,inh 10,rif 15,pyra 50,abs1,,,inh 5,rif 10,pyra 30,abs2,,,,,,theta1,theta2,theta3
297,0.038,0.247,0.179,0.453,,297,0.016,0.162,0.111,0.297,,0.0038,0.016466667,0.00358,,0.0032,0.0162,0.0037
298,0.036,0.247,0.182,0.454,,298,0.015,0.163,0.113,0.299,,0.0036,0.016466667,0.00364,,0.003,0.0163,0.003766667
299,0.033,0.248,0.186,0.456,,299,0.014,0.163,0.115,0.301,,0.0033,0.016533333,0.00372,,0.0028,0.0163,0.003833333
300,0.031,0.25,0.19,0.46,,300,0.012,0.165,0.118,0.303,,0.0031,0.016666667,0.0038,,0.0024,0.0165,0.003933333
301,0.029,0.252,0.194,0.464,,301,0.012,0.166,0.12,0.307,,0.0029,0.0168,0.00388,,0.0024,0.0166,0.004
302,0.027,0.254,0.199,0.469,,302,0.011,0.168,0.123,0.311,,0.0027,0.016933333,0.00398,,0.0022,0.0168,0.0041
303,0.026,0.258,0.203,0.475,,303,0.01,0.17,0.126,0.315,,0.0026,0.0172,0.00406,,0.002,0.017,0.0042
304,0.024,0.262,0.207,0.481,,304,0.009,0.172,0.128,0.319,,0.0024,0.017466667,0.00414,,0.0018,0.0172,0.004266667
305,0.022,0.266,0.211,0.488,,305,0.008,0.175,0.129,0.323,,0.0022,0.017733333,0.00422,,0.0016,0.0175,0.0043
306,0.02,0.27,0.213,0.493,,306,0.006,0.177,0.131,0.326,,0.002,0.018,0.00426,,0.0012,0.0177,0.004366667
307,0.019,0.276,0.217,0.498,,307,0.006,0.18,0.133,0.332,,0.0019,0.0184,0.00434,,0.0012,0.018,0.004433333
308,0.019,0.283,0.22,0.507,,308,0.006,0.185,0.136,0.337,,0.0019,0.018866667,0.0044,,0.0012,0.0185,0.004533333
309,0.018,0.289,0.221,0.513,,309,0.006,0.189,0.136,0.342,,0.0018,0.019266667,0.00442,,0.0012,0.0189,0.004533333
310,0.016,0.295,0.222,0.519,,310,0.005,0.193,0.137,0.346,,0.0016,0.019666667,0.00444,,0.001,0.0193,0.004566667
311,0.015,0.303,0.223,0.525,,311,0.004,0.197,0.137,0.35,,0.0015,0.0202,0.00446,,0.0008,0.0197,0.004566667
312,0.014,0.311,0.223,0.532,,312,0.004,0.203,0.137,0.354,,0.0014,0.020733333,0.00446,,0.0008,0.0203,0.004566667
313,0.013,0.318,0.222,0.537,,313,0.004,0.208,0.136,0.358,,0.0013,0.0212,0.00444,,0.0008,0.0208,0.004533333
314,0.012,0.326,0.219,0.539,,314,0.003,0.212,0.134,0.361,,0.0012,0.021733333,0.00438,,0.0006,0.0212,0.004466667
315,0.012,0.335,0.216,0.543,,315,0.003,0.219,0.132,0.364,,0.0012,0.022333333,0.00432,,0.0006,0.0219,0.0044
316,0.01,0.343,0.211,0.546,,316,0.001,0.224,0.128,0.364,,0.001,0.022866667,0.00422,,0.0002,0.0224,0.004266667
317,0.01,0.352,0.206,0.549,,317,0.001,0.229,0.125,0.366,,0.001,0.023466667,0.00412,,0.0002,0.0229,0.004166667
318,0.01,0.361,0.201,0.551,,318,0.002,0.236,0.122,0.368,,0.001,0.024066667,0.00402,,0.0004,0.0236,0.004066667
319,0.009,0.371,0.194,0.552,,319,0.001,0.242,0.118,0.369,,0.0009,0.024733333,0.00388,,0.0002,0.0242,0.003933333
320,0.008,0.38,0.187,0.552,,320,0.001,0.247,0.113,0.369,,0.0008,0.025333333,0.00374,,0.0002,0.0247,0.003766667
321,0.008,0.388,0.179,0.552,,321,0.001,0.253,0.108,0.368,,0.0008,0.025866667,0.00358,,0.0002,0.0253,0.0036
322,0.007,0.397,0.169,0.551,,322,0,0.258,0.103,0.367,,0.0007,0.026466667,0.00338,,0,0.0258,0.003433333
323,0.007,0.406,0.161,0.549,,323,0,0.264,0.097,0.367,,0.0007,0.027066667,0.00322,,0,0.0264,0.003233333
324,0.006,0.414,0.15,0.547,,324,0,0.269,0.09,0.364,,0.0006,0.0276,0.003,,0,0.0269,0.003
325,0.005,0.42,0.141,0.544,,325,-0.001,0.273,0.084,0.362,,0.0005,0.028,0.00282,,-0.0002,0.0273,0.0028
326,0.005,0.427,0.132,0.54,,326,-0.001,0.277,0.078,0.36,,0.0005,0.028466667,0.00264,,-0.0002,0.0277,0.0026
327,0.005,0.434,0.122,0.536,,327,-0.001,0.282,0.072,0.357,,0.0005,0.028933333,0.00244,,-0.0002,0.0282,0.0024
328,0.005,0.438,0.113,0.531,,328,-0.001,0.285,0.066,0.354,,0.0005,0.0292,0.00226,,-0.0002,0.0285,0.0022
329,0.004,0.443,0.104,0.526,,329,-0.001,0.289,0.061,0.35,,0.0004,0.029533333,0.00208,,-0.0002,0.0289,0.002033333
330,0.005,0.448,0.095,0.522,,330,-0.001,0.291,0.056,0.347,,0.0005,0.029866667,0.0019,,-0.0002,0.0291,0.001866667
331,0.004,0.451,0.088,0.516,,331,-0.001,0.292,0.051,0.343,,0.0004,0.030066667,0.00176,,-0.0002,0.0292,0.0017
332,0.004,0.453,0.079,0.511,,332,-0.001,0.295,0.046,0.34,,0.0004,0.0302,0.00158,,-0.0002,0.0295,0.001533333
333,0.004,0.455,0.071,0.505,,333,-0.001,0.295,0.041,0.335,,0.0004,0.030333333,0.00142,,-0.0002,0.0295,0.001366667
334,0.004,0.454,0.064,0.497,,334,-0.002,0.295,0.037,0.33,,0.0004,0.030266667,0.00128,,-0.0004,0.0295,0.001233333
335,0.004,0.453,0.058,0.49,,335,-0.001,0.295,0.033,0.325,,0.0004,0.0302,0.00116,,-0.0002,0.0295,0.0011
336,0.004,0.451,0.051,0.48,,336,-0.001,0.293,0.028,0.319,,0.0004,0.030066667,0.00102,,-0.0002,0.0293,0.000933333
337,0.003,0.446,0.045,0.47,,337,-0.001,0.289,0.024,0.311,,0.0003,0.029733333,0.0009,,-0.0002,0.0289,0.0008
338,0.003,0.441,0.04,0.461,,338,-0.001,0.287,0.022,0.305,,0.0003,0.0294,0.0008,,-0.0002,0.0287,0.000733333
339,0.002,0.433,0.035,0.448,,339,-0.002,0.281,0.018,0.298,,0.0002,0.028866667,0.0007,,-0.0004,0.0281,0.0006
340,0.003,0.426,0.031,0.436,,340,-0.001,0.277,0.017,0.289,,0.0003,0.0284,0.00062,,-0.0002,0.0277,0.000566667
341,0.002,0.414,0.026,0.421,,341,-0.001,0.268,0.013,0.278,,0.0002,0.0276,0.00052,,-0.0002,0.0268,0.000433333
342,0.001,0.401,0.022,0.405,,342,-0.002,0.26,0.01,0.268,,0.0001,0.026733333,0.00044,,-0.0004,0.026,0.000333333
343,0.002,0.387,0.018,0.389,,343,-0.003,0.25,0.008,0.256,,0.0002,0.0258,0.00036,,-0.0006,0.025,0.000266667
344,0.002,0.373,0.016,0.374,,344,-0.002,0.242,0.006,0.246,,0.0002,0.024866667,0.00032,,-0.0004,0.0242,0.0002
345,0.001,0.358,0.013,0.357,,345,-0.002,0.231,0.005,0.234,,0.0001,0.023866667,0.00026,,-0.0004,0.0231,0.000166667
346,0.002,0.343,0.012,0.341,,346,-0.002,0.222,0.004,0.223,,0.0002,0.022866667,0.00024,,-0.0004,0.0222,0.000133333
347,0.002,0.326,0.011,0.325,,347,-0.001,0.211,0.004,0.212,,0.0002,0.021733333,0.00022,,-0.0002,0.0211,0.000133333
348,0.002,0.311,0.008,0.308,,348,-0.001,0.201,0.002,0.201,,0.0002,0.020733333,0.00016,,-0.0002,0.0201,6.67E-05
349,0.002,0.294,0.007,0.292,,349,-0.001,0.191,0,0.19,,0.0002,0.0196,0.00014,,-0.0002,0.0191,0
350,0.002,0.278,0.006,0.275,,350,-0.002,0.179,0,0.18,,0.0002,0.018533333,0.00012,,-0.0004,0.0179,0
